SampleName,SamplePath
NTC,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/NTC
Placenta_only,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta_only
Placenta+synthpos_Cox_10E00,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E00
Placenta+synthpos_Cox_10E01,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E01
Placenta+synthpos_Cox_10E02,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E02
Placenta+synthpos_Cox_10E03,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E03
Placenta+synthpos_Cox_10E04,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E04
Placenta+synthpos_Cox_10E05,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E05
Placenta+synthpos_Cox_10E06,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E06
Placenta+synthpos_Cox_10E07,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E07
Placenta+synthpos_Cox_10E08,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E08
Placenta+synthpos_Cox_10E09,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E09
Placenta+synthpos_Cox_10E10,/data/BovReproSeq/Bovreproseq_sensitivity_30Jun23_Dp/Bovreproseq_sensitivity_30Jun23_Dp/20230630_1614_X1_FAX01509_9c4c0ecf/fastq_pass/Placenta+synthpos_Cox_10E10
